,Car id,Brand,Condition,Version,Kilometers,Price,Year,City,Color,Cylindrical,Box type,Fuel,Accessories,Seller comment,Main features,Technical details,Url
0,2049514,Mazda 2,usado,1.5 Sedan,24000,60500000,2020,Bogotá D.C.,No Disponible,15,Mecánica,Gasolina,[],"UNICO DUEÃ¿â¿¿O MANTENIMIENTO SIEMPRE EN MAZDA PERFECTAS CONDICIONES

COLOR ROJO DIAMANTE

IMPAR","[{'name': 'Warranty', 'description': ''}, {'name': 'Average consumption', 'description': ''}, {'name': 'Door', 'description': ''}, {'name': 'Armored', 'description': 'N'}, {'name': 'Wheel drive', 'description': ''}, {'name': 'Colors', 'description': ''}, {'name': 'Bodywork', 'description': ''}, {'name': 'Airbag number', 'description': ''}, {'name': 'Steering system', 'description': 'N'}, {'name': 'Gearbox', 'description': ''}, {'name': 'Engine Displacement', 'description': '15'}, {'name': 'Assembly', 'description': ''}, {'name': 'Fuel type', 'description': 'Gasolina'}]",[],https://www.carroya.com/vehiculo/usado/mazda/2/1.5-sedan/2020/bogota/2049514
1,2046774,KIA Cerato Forte,usado,HB 1.6 Aut,94000,42990000,2011,Bogotá D.C.,Plateado,1600,Automática,Gasolina,"['Alarma', ' Antena eléctrica', ' Bloqueo central', ' Exploradoras', ' Radio', ' Vidrios eléctricos', ' Espejos eléctricos', ' Aire Acondicionado Bizona', ' Airbags 2']","RIN 17, Aire acondicionado, Dirección hidráulica, Frenos ABS, Espejos eléctricos, Exploradoras, vidrios eléctricos, Mantenimientos al día ","[{'name': 'Warranty', 'description': ''}, {'name': 'Average consumption', 'description': ''}, {'name': 'Door', 'description': ''}, {'name': 'Armored', 'description': 'N'}, {'name': 'Wheel drive', 'description': ''}, {'name': 'Colors', 'description': ''}, {'name': 'Bodywork', 'description': ''}, {'name': 'Airbag number', 'description': ''}, {'name': 'Steering system', 'description': 'N'}, {'name': 'Gearbox', 'description': ''}, {'name': 'Engine Displacement', 'description': '1600'}, {'name': 'Assembly', 'description': ''}, {'name': 'Fuel type', 'description': 'Gasolina'}]",[],https://www.carroya.com/vehiculo/usado/kia/cerato-forte/hb-1.6-aut/2011/bogota/2046774
2,2046519,Volkswagen Virtus,usado,Comfortline 1.6 Sedan Automatico,42000,63990000,2020,Bogotá D.C.,Blanco,1600,Automática,Gasolina,"['Antena eléctrica', ' Bloqueo central', ' Exploradoras', ' Radio', ' Rines de lujo', ' Vidrios eléctricos', ' Sensor de reversa', ' Bluetooth', ' Espejos eléctricos', ' Aire Acondicionado Bizona', ' Airbags 8', ' Apple Car Play']","Aire acondicionado, Audio Car Play, 8 sensores de parqueo, Rin 15, Frenos ABS, Exploradoras, Vidrios eléctricos 4, Mantenimientos al día","[{'name': 'Warranty', 'description': ''}, {'name': 'Average consumption', 'description': ''}, {'name': 'Door', 'description': '4'}, {'name': 'Armored', 'description': 'N'}, {'name': 'Wheel drive', 'description': ''}, {'name': 'Colors', 'description': ''}, {'name': 'Bodywork', 'description': 'Sedán'}, {'name': 'Airbag number', 'description': ''}, {'name': 'Steering system', 'description': 'N'}, {'name': 'Gearbox', 'description': ''}, {'name': 'Engine Displacement', 'description': '1600'}, {'name': 'Assembly', 'description': ''}, {'name': 'Fuel type', 'description': 'Gasolina'}]","[{'autopart': 'Motor', 'specifications': [{'name': 'Cilindrada (c.c³)', 'value': '1598.00'}, {'name': 'Orientación', 'value': 'null'}, {'name': 'Configuración árbol de levas', 'value': 'null'}, {'name': 'Cantidad de válvulas por cilindro', 'value': '4.00'}, {'name': 'Torque (Kg/Rev. x min)', 'value': '155/4000'}, {'name': 'Tipo de Alimentación Combustible', 'value': 'null'}, {'name': 'Potencia (H.P)', 'value': '110/5750rpm'}]}, {'autopart': 'Transmisión', 'specifications': [{'name': 'Tipo de transmisión', 'value': 'Automática'}, {'name': 'Cantidad de cambios adelante', 'value': '6.00'}]}, {'autopart': 'Suspensiones', 'specifications': [{'name': 'Suspensión trasera', 'value': 'Semi Independiente'}, {'name': 'Suspensión delantera', 'value': 'Independiente McPherson'}]}, {'autopart': 'Dirección', 'specifications': [{'name': 'Sistema de dirección', 'value': 'Asistida Eléctricamente'}]}, {'autopart': 'Sistema de Frenos', 'specifications': [{'name': 'Tipo de frenos delanteros', 'value': 'Discos ventilados'}, {'name': 'Tipo de frenos traseros', 'value': 'Tambor'}]}, {'autopart': 'Ruedas', 'specifications': [{'name': 'Dimensiones Llanta Delantera', 'value': '195/65'}, {'name': 'Dimensiones Rin', 'value': '15.00'}]}, {'autopart': 'Dimensiones', 'specifications': [{'name': 'Volúmen del baúl (lts)', 'value': '521.00'}, {'name': 'Largo/ancho/alto (mts.)', 'value': '4.4/1.7/1.4'}]}, {'autopart': 'Adicional', 'specifications': [{'name': 'Tipo de combustible', 'value': 'Gasolina'}, {'name': 'Número puertas', 'value': '4'}, {'name': 'Tipo de caja', 'value': 'Automatica'}, {'name': 'Carrocería', 'value': 'Sedán'}, {'name': 'Tipo Dirección', 'value': 'Asistencia Eléctrica'}]}]",https://www.carroya.com/vehiculo/usado/volkswagen/virtus/comfortline-1.6-sedan-automatico/2020/bogota/2046519
3,2046524,Volkswagen Virtus,usado,Highline,37000,73990000,2020,Bogotá D.C.,Azul,1600,Automática,Gasolina,"['Alarma', ' Bloqueo central', ' Exploradoras', ' Radio', ' Rines de lujo', ' Vidrios eléctricos', ' Tapicería en cuero', ' Sensor de reversa', ' Bluetooth', ' GPS', ' Espejos eléctricos', ' Aire Acondicionado Bizona', ' Sensores Delanteros', ' Airbags 4', ' Apple Car Play']","Encendido Electrónico, Levas en el Timón, Audio Car Play, Luces Automáticas, Cojineria en cuero, Camara de reversa, 8 Sensores de parqueo, Frenos ABS, Exploradoras, Vidrios Eléctricos, Mantenimientos al día ","[{'name': 'Warranty', 'description': ''}, {'name': 'Average consumption', 'description': ''}, {'name': 'Door', 'description': '4'}, {'name': 'Armored', 'description': 'N'}, {'name': 'Wheel drive', 'description': ''}, {'name': 'Colors', 'description': ''}, {'name': 'Bodywork', 'description': 'Sedán'}, {'name': 'Airbag number', 'description': ''}, {'name': 'Steering system', 'description': 'N'}, {'name': 'Gearbox', 'description': ''}, {'name': 'Engine Displacement', 'description': '1600'}, {'name': 'Assembly', 'description': ''}, {'name': 'Fuel type', 'description': 'Gasolina'}]","[{'autopart': 'Motor', 'specifications': [{'name': 'Cilindrada (c.c³)', 'value': '1598.00'}, {'name': 'Orientación', 'value': 'null'}, {'name': 'Configuración árbol de levas', 'value': 'null'}, {'name': 'Cantidad de válvulas por cilindro', 'value': '4.00'}, {'name': 'Torque (Kg/Rev. x min)', 'value': '155/4000'}, {'name': 'Tipo de Alimentación Combustible', 'value': 'null'}, {'name': 'Potencia (H.P)', 'value': '110/5750rpm'}]}, {'autopart': 'Transmisión', 'specifications': [{'name': 'Tipo de transmisión', 'value': 'Automática'}, {'name': 'Cantidad de cambios adelante', 'value': '6.00'}]}, {'autopart': 'Suspensiones', 'specifications': [{'name': 'Suspensión trasera', 'value': 'Semi Independiente'}, {'name': 'Suspensión delantera', 'value': 'Independiente McPherson'}]}, {'autopart': 'Dirección', 'specifications': [{'name': 'Sistema de dirección', 'value': 'Asistida Eléctricamente'}]}, {'autopart': 'Sistema de Frenos', 'specifications': [{'name': 'Tipo de frenos delanteros', 'value': 'Discos ventilados'}, {'name': 'Tipo de frenos traseros', 'value': 'Tambor'}]}, {'autopart': 'Ruedas', 'specifications': [{'name': 'Dimensiones Llanta Delantera', 'value': '195/65'}, {'name': 'Dimensiones Rin', 'value': '15.00'}]}, {'autopart': 'Dimensiones', 'specifications': [{'name': 'Volúmen del baúl (lts)', 'value': '521.00'}, {'name': 'Largo/ancho/alto (mts.)', 'value': '4.4/1.7/1.4'}]}, {'autopart': 'Adicional', 'specifications': [{'name': 'Tipo de combustible', 'value': 'Gasolina'}, {'name': 'Número puertas', 'value': '4'}, {'name': 'Tipo de caja', 'value': 'Automatica'}, {'name': 'Carrocería', 'value': 'Sedán'}, {'name': 'Tipo Dirección', 'value': 'Asistencia Eléctrica'}]}]",https://www.carroya.com/vehiculo/usado/volkswagen/virtus/highline/2020/bogota/2046524
4,2046398,Chevrolet Cruze,usado,1.8 LS Mecanico,130900,43990000,2015,Bogotá D.C.,Blanco,1800,Mecánica,Gasolina,"['Alarma', ' Antena eléctrica', ' Bloqueo central', ' Exploradoras', ' Radio', ' Techo Corredizo', ' Rines de lujo', ' Vidrios eléctricos', ' Espejos eléctricos', ' Aire Acondicionado Bizona', ' Airbags 2']","Exploradoras, Vidrios Eléctricos x4, Techo Corredizo, Mantenimientos la día","[{'name': 'Warranty', 'description': ''}, {'name': 'Average consumption', 'description': ''}, {'name': 'Door', 'description': ''}, {'name': 'Armored', 'description': 'N'}, {'name': 'Wheel drive', 'description': ''}, {'name': 'Colors', 'description': ''}, {'name': 'Bodywork', 'description': ''}, {'name': 'Airbag number', 'description': ''}, {'name': 'Steering system', 'description': 'N'}, {'name': 'Gearbox', 'description': ''}, {'name': 'Engine Displacement', 'description': '1800'}, {'name': 'Assembly', 'description': ''}, {'name': 'Fuel type', 'description': 'Gasolina'}]",[],https://www.carroya.com/vehiculo/usado/chevrolet/cruze/1.8-ls-mecanico/2015/bogota/2046398
5,2047394,Mercedes Benz Clase C,usado,200 Exclusive,44000,114990000,2018,Bogotá D.C.,Gris,2000,Automática,Gasolina,"['Alarma', ' Antena eléctrica', ' Bloqueo central', ' Exploradoras', ' Radio', ' Tapicería en cuero', ' Bluetooth', ' Espejos eléctricos', ' Aire Acondicionado Bizona', ' Techo Panoramico', ' Airbags 7', ' Apple Car Play']","10 sensores con cámara de reversa, Tapicería en cuero, Luces led, Exploradoras, Vidrios eléctricos, Mantenimientos al día ","[{'name': 'Warranty', 'description': ''}, {'name': 'Average consumption', 'description': ''}, {'name': 'Door', 'description': '4'}, {'name': 'Armored', 'description': 'N'}, {'name': 'Wheel drive', 'description': ''}, {'name': 'Colors', 'description': ''}, {'name': 'Bodywork', 'description': 'Sedán'}, {'name': 'Airbag number', 'description': ''}, {'name': 'Steering system', 'description': 'N'}, {'name': 'Gearbox', 'description': ''}, {'name': 'Engine Displacement', 'description': '2000'}, {'name': 'Assembly', 'description': ''}, {'name': 'Fuel type', 'description': 'Gasolina'}]","[{'autopart': 'Motor', 'specifications': [{'name': 'Orientación', 'value': 'Longitudinal'}, {'name': 'Tipo de Alimentación Combustible', 'value': 'Inyección Directa'}, {'name': 'Configuración árbol de levas', 'value': 'DOHC'}, {'name': 'Velocidad Máxima', 'value': '235'}, {'name': 'Cantidad y configuración de cilindros', 'value': '4 en línea'}, {'name': 'Cantidad de válvulas por cilindro', 'value': '4.00'}, {'name': 'Torque (Kg/Rev. x min)', 'value': '30.5/1.200'}, {'name': 'Cilindrada (c.c³)', 'value': '1991.00'}, {'name': 'Potencia (H.P)', 'value': '181/5500\r\n'}, {'name': 'Capacidad del tanque de combustible (Galones)', 'value': '17,4'}, {'name': 'Motor', 'value': 'Delantero longitudinal a gasolina, con inyección directa y turbocompresor.'}]}, {'autopart': 'Transmisión', 'specifications': [{'name': 'Cantidad de cambios adelante', 'value': '7.00'}, {'name': 'Tipo de transmisión', 'value': 'Automática'}]}, {'autopart': 'Suspensiones', 'specifications': [{'name': 'Amortiguadores', 'value': 'Hidráulicos'}, {'name': 'Suspensión trasera', 'value': 'Independiente con eje multibrazo y sistema de amortización selectiva'}, {'name': 'Suspensión delantera', 'value': 'Independiente con sistema de brazos múltiples y sistema de amortización selectiva.\r\n'}]}, {'autopart': 'Dirección', 'specifications': [{'name': 'Sistema de dirección', 'value': 'Asistida Eléctricamente'}]}, {'autopart': 'Sistema de Frenos', 'specifications': [{'name': 'Tipo de frenos delanteros', 'value': 'Discos ventilados'}, {'name': 'Tipo de frenos', 'value': 'Hidráulicos'}, {'name': 'Tipo de frenos traseros', 'value': 'Discos sólidos'}]}, {'autopart': 'Ruedas', 'specifications': [{'name': 'Dimensiones Rin', 'value': '17.00'}, {'name': 'Dimensiones Llanta Delantera', 'value': '225/50'}]}, {'autopart': 'Dimensiones', 'specifications': [{'name': 'Largo/ancho/alto (mts.)', 'value': '4,68 / 1,81 / 1,44'}, {'name': 'Pasajeros', 'value': '5.00'}, {'name': 'Peso (kgrs.)', 'value': '1465.00'}, {'name': 'Capacidad de carga', 'value': 'ND'}]}, {'autopart': 'Adicional', 'specifications': [{'name': 'Tipo de combustible', 'value': 'Gasolina'}, {'name': 'Tipo Dirección', 'value': 'Asistida'}, {'name': 'Tipo de caja', 'value': 'Automatica'}, {'name': 'Carrocería', 'value': 'Sedán'}, {'name': 'Número puertas', 'value': '4'}]}]",https://www.carroya.com/vehiculo/usado/mercedes-benz/clase-c/200-exclusive/2018/bogota/2047394
6,2047396,BMW Serie 1,usado,116I F20,90000,53990000,2012,Bogotá D.C.,Blanco,1600,Automática,Gasolina,"['Alarma', ' Antena eléctrica', ' Bloqueo central', ' Limpiabrisas trasero', ' Radio', ' Rines de lujo', ' Vidrios eléctricos', ' Bluetooth', ' Espejos eléctricos', ' Aire Acondicionado Bizona', ' Airbags 6']","Dos modos de manejo, Espejos eléctricos, Mantenimientos al día, Tracción trasera ","[{'name': 'Warranty', 'description': ''}, {'name': 'Average consumption', 'description': ''}, {'name': 'Door', 'description': ''}, {'name': 'Armored', 'description': 'N'}, {'name': 'Wheel drive', 'description': ''}, {'name': 'Colors', 'description': ''}, {'name': 'Bodywork', 'description': ''}, {'name': 'Airbag number', 'description': ''}, {'name': 'Steering system', 'description': 'N'}, {'name': 'Gearbox', 'description': ''}, {'name': 'Engine Displacement', 'description': '1600'}, {'name': 'Assembly', 'description': ''}, {'name': 'Fuel type', 'description': 'Gasolina'}]",[],https://www.carroya.com/vehiculo/usado/bmw/serie-1/116i-f20/2012/bogota/2047396
7,2049508,Ford Ecosport,usado,1.5 SE AUT 4x2,37000,74000000,2020,Cundinamarca,Blanco,1500,Automática,Gasolina,"['Air Bag pasajero', ' Air Bag piloto', ' Aire acondicionado', ' Bloqueo central', ' Bluetooth', ' Android Auto', ' Apple Car Play']",,"[{'name': 'Warranty', 'description': ''}, {'name': 'Average consumption', 'description': ''}, {'name': 'Door', 'description': '5'}, {'name': 'Armored', 'description': 'N'}, {'name': 'Wheel drive', 'description': ''}, {'name': 'Colors', 'description': ''}, {'name': 'Bodywork', 'description': ' SUV'}, {'name': 'Airbag number', 'description': ''}, {'name': 'Steering system', 'description': 'N'}, {'name': 'Gearbox', 'description': ''}, {'name': 'Engine Displacement', 'description': '1500'}, {'name': 'Assembly', 'description': ''}, {'name': 'Fuel type', 'description': 'Gasolina'}]","[{'autopart': 'Motor', 'specifications': [{'name': 'Capacidad del tanque de combustible (Galones)', 'value': '14.05'}, {'name': 'Torque (Kg/Rev. x min)', 'value': '151 / 4500'}, {'name': 'Motor', 'value': '1.5 Dragon'}, {'name': 'Cilindrada (c.c³)', 'value': '1500.00'}, {'name': 'Potencia (H.P)', 'value': '123 / 6500'}, {'name': 'Tipo de Alimentación Combustible', 'value': 'null'}, {'name': 'Orientación', 'value': 'Transversal'}, {'name': 'Cantidad y configuración de cilindros', 'value': '4 en línea'}, {'name': 'Configuración árbol de levas', 'value': 'DOHC'}, {'name': 'Relación de compresión', 'value': '10.8:1'}, {'name': 'Cantidad de válvulas por cilindro', 'value': '4.00'}]}, {'autopart': 'Transmisión', 'specifications': [{'name': 'Tipo de transmisión', 'value': 'Automática'}, {'name': 'Cantidad de cambios adelante', 'value': '5.00'}]}, {'autopart': 'Suspensiones', 'specifications': [{'name': 'Suspensión delantera', 'value': 'Independiente'}, {'name': 'Suspensión trasera', 'value': 'Semi-independiente'}, {'name': 'Amortiguadores', 'value': 'Hidráulicos'}]}, {'autopart': 'Dirección', 'specifications': [{'name': 'Sistema de dirección', 'value': 'Electro hidráulica'}]}, {'autopart': 'Sistema de Frenos', 'specifications': [{'name': 'Tipo de frenos delanteros', 'value': ' Discos'}, {'name': 'Tipo de frenos traseros', 'value': 'Tambor'}, {'name': 'Tipo de frenos', 'value': 'Hidráulicos ABS'}]}, {'autopart': 'Ruedas', 'specifications': [{'name': 'Dimensiones Llanta Delantera', 'value': '205 / 65 R15'}]}, {'autopart': 'Dimensiones', 'specifications': [{'name': 'Peso (kgrs.)', 'value': '1660.00'}, {'name': 'Largo/ancho/alto (mts.)', 'value': '4,24 / 2,05 / 1,69'}, {'name': 'Volúmen del baúl (lts)', 'value': '362.00'}, {'name': 'Capacidad de carga', 'value': '389'}, {'name': 'Pasajeros', 'value': '5.00'}]}, {'autopart': 'Adicional', 'specifications': [{'name': 'Tipo de caja', 'value': 'Automatica'}, {'name': 'Carrocería', 'value': ' SUV'}, {'name': 'Número puertas', 'value': '5'}, {'name': 'Tipo Dirección', 'value': 'Asistida'}, {'name': 'Tipo de combustible', 'value': 'Gasolina'}]}]",https://www.carroya.com/vehiculo/usado/ford/ecosport/1.5-se-aut-4x2/2020/cajicá/2049508
8,2046529,AUDI Q5,usado,3.2 Quattro FSI S-tronic Attraction,50000,77990000,2012,Bogotá D.C.,Gris,3200,Automática,Gasolina,"['Aire acondicionado', ' Alarma', ' Antena eléctrica', ' Bloqueo central', ' Exploradoras', ' Limpiabrisas trasero', ' Radio', ' Techo Corredizo', ' Vidrios eléctricos', ' Sillas eléctricas', ' Espejos eléctricos', ' Aire Acondicionado Bizona', ' Techo Panoramico', ' Airbags 6']","Luces led, Sillas Eléctricas, Encendido Electrónico, Llave inteligente, Techo Panorámico, Mantenimientos al día ","[{'name': 'Warranty', 'description': ''}, {'name': 'Average consumption', 'description': ''}, {'name': 'Door', 'description': ''}, {'name': 'Armored', 'description': 'N'}, {'name': 'Wheel drive', 'description': ''}, {'name': 'Colors', 'description': ''}, {'name': 'Bodywork', 'description': ''}, {'name': 'Airbag number', 'description': ''}, {'name': 'Steering system', 'description': 'N'}, {'name': 'Gearbox', 'description': ''}, {'name': 'Engine Displacement', 'description': '3200'}, {'name': 'Assembly', 'description': ''}, {'name': 'Fuel type', 'description': 'Gasolina'}]",[],https://www.carroya.com/vehiculo/usado/audi/q5/3.2-quattro-fsi-s-tronic-attraction/2012/bogota/2046529
9,2037585,Mazda CX-5,usado,Grand Touring 2.5 Suv Automatica 4x2,14200,130990000,2021,Bogotá D.C.,Gris,2500,Automática,Gasolina,"['Alarma', ' Antena eléctrica', ' Bloqueo central', ' Exploradoras', ' Limpiabrisas trasero', ' Radio', ' Vidrios eléctricos', ' Sensor de reversa', ' Bluetooth', ' Espejos eléctricos', ' Aire Acondicionado Bizona', ' Sensores Delanteros', ' Airbags 6', ' Android Auto', ' Apple Car Play']","8 sensores de parqueo, único dueño, pantalla 8 pulgadas con carplay, sonido bose, botón de encendido, llave inteligente, luces led, Mantenimientos al día ","[{'name': 'Warranty', 'description': ''}, {'name': 'Average consumption', 'description': ''}, {'name': 'Door', 'description': '5'}, {'name': 'Armored', 'description': 'N'}, {'name': 'Wheel drive', 'description': ''}, {'name': 'Colors', 'description': ''}, {'name': 'Bodywork', 'description': ' Camperos y camionetas'}, {'name': 'Airbag number', 'description': ''}, {'name': 'Steering system', 'description': 'N'}, {'name': 'Gearbox', 'description': ''}, {'name': 'Engine Displacement', 'description': '2500'}, {'name': 'Assembly', 'description': ''}, {'name': 'Fuel type', 'description': 'Gasolina'}]","[{'autopart': 'Motor', 'specifications': [{'name': 'Cilindrada (c.c³)', 'value': '2488.00'}, {'name': 'Cantidad y configuración de cilindros', 'value': '4 en línea'}, {'name': 'Capacidad del tanque de combustible (Galones)', 'value': '58'}, {'name': 'Tipo de Alimentación Combustible', 'value': 'null'}, {'name': 'Motor', 'value': 'SKYACTIV-G 2.5L/16 Valvulas/ Dual S-VT/ Inyeccion Directa'}, {'name': 'Orientación', 'value': 'null'}, {'name': 'Configuración árbol de levas', 'value': 'null'}, {'name': 'Relación de compresión', 'value': '10,5:1'}, {'name': 'Cantidad de válvulas por cilindro', 'value': '4.00'}, {'name': 'Torque (Kg/Rev. x min)', 'value': '42,83/2.000'}, {'name': 'Velocidad Máxima', 'value': '0'}, {'name': 'Potencia (H.P)', 'value': '228/5.000'}]}, {'autopart': 'Transmisión', 'specifications': [{'name': 'Cantidad de cambios adelante', 'value': '6.00'}, {'name': 'Tipo de transmisión', 'value': 'Automática'}]}, {'autopart': 'Suspensiones', 'specifications': [{'name': 'Suspensión delantera', 'value': 'Independiente tipo McPherson/Barra estabilizadora'}, {'name': 'Suspensión trasera', 'value': 'Independiente/Multibrazos tipo ""E""/Barra estabilizadora'}, {'name': 'Amortiguadores', 'value': 'Hidráulicos'}]}, {'autopart': 'Dirección', 'specifications': [{'name': 'Sistema de dirección', 'value': 'Asistida Eléctricamente'}]}, {'autopart': 'Sistema de Frenos', 'specifications': [{'name': 'Tipo de frenos delanteros', 'value': 'Discos ventilados'}, {'name': 'Tipo de frenos', 'value': 'ABS/EBD/BA/AH/SCR'}, {'name': 'Tipo de frenos traseros', 'value': 'Discos sólidos'}]}, {'autopart': 'Ruedas', 'specifications': [{'name': 'Dimensiones Llanta Delantera', 'value': '225/55 R19 99V'}, {'name': 'Llantas (dimensiones)', 'value': '0.00'}, {'name': 'Dimensiones Rin', 'value': '19.00'}]}, {'autopart': 'Dimensiones', 'specifications': [{'name': 'Volúmen del baúl (lts)', 'value': '442.00'}, {'name': 'Pasajeros', 'value': '5.00'}, {'name': 'Capacidad de carga', 'value': '585'}, {'name': 'Largo/ancho/alto (mts.)', 'value': '4.550/1.840/1.680'}, {'name': 'Peso (kgrs.)', 'value': '1697.00'}]}, {'autopart': 'Adicional', 'specifications': [{'name': 'Tipo de caja', 'value': 'Automatica'}, {'name': 'Carrocería', 'value': ' Camperos y camionetas'}, {'name': 'Tipo de combustible', 'value': 'Gasolina'}, {'name': 'Tipo Dirección', 'value': 'Asistencia Eléctrica'}, {'name': 'Número puertas', 'value': '5'}]}]",https://www.carroya.com/vehiculo/usado/mazda/cx-5/grand-touring-2.5-suv-automatica-4x2/2021/bogota/2037585
