,Car id,Brand info,Price,City,Description,make,model,variant,year,mileage,condition,fuel,color,vehicletransmission,doors,Drive train
28,1115653512,Ven doble cabina 4x4,$ 42.000.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007007', 'ADMIN_LEVEL_1_name': 'Risaralda', 'ADMIN_LEVEL_3_id': '4069440', 'ADMIN_LEVEL_3_name': 'Pereira', 'SUBLOCALITY_LEVEL_1_id': '5302396', 'SUBLOCALITY_LEVEL_1_name': 'Obelisco De La Villa'}","Vendo camioneta Ford Ranger doble cabina, 4x4, buen estado, escucho ofertas.",FORD,RANGER,XLT F25D49 2.5L TD COL 4X4,2006,245.000 km,Usado,Gasolina,Azul,Mecánica,4,4x4
29,1115653492,Mazda 2 touring,$ 65.000.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007009', 'ADMIN_LEVEL_1_name': 'Tolima', 'ADMIN_LEVEL_3_id': '4069493', 'ADMIN_LEVEL_3_name': 'Fresno'}","Vehículo en perfecto estado, verlo es comprarlo,",MAZDA,2 HATCHBACK,Touring 1.5L 2AB DPY7 RA15,2021,21.500 km,Usado,Gasolina,Blanco,Mecánica,5,
30,1115653489,foton 2019,$ 63.000.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007002', 'ADMIN_LEVEL_1_name': 'Antioquia', 'ADMIN_LEVEL_3_id': '4069120', 'ADMIN_LEVEL_3_name': 'Medellín', 'SUBLOCALITY_LEVEL_1_id': '5301438', 'SUBLOCALITY_LEVEL_1_name': 'Universidad De Antioquia'}",foton 2019 ref.3510,FOTON,Otros Modelos,Otros,2019,63.000 km,Usado,Diesel,Blanco,Mecánica,2,
31,1115653484,Mazda Allegro 2007   1.3 Excelente Estado,$ 22.000.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007001', 'ADMIN_LEVEL_1_name': 'Valle del Cauca', 'ADMIN_LEVEL_3_id': '4069086', 'ADMIN_LEVEL_3_name': 'Jamundí', 'SUBLOCALITY_LEVEL_1_id': '1000000000002508', 'SUBLOCALITY_LEVEL_1_name': 'Alfaguara'}","Nunca estrellado, papeles al día, todo le funciona, vidrios eléctricos los 4, bloqueo central, cámara reversa, radio con pantalla, asientos en cuero, rines..
Precio negociable..",MAZDA,ALLEGRO SEDAN,1AAN3M 1.3L AA,2007,186.000 km,Usado,Gasolina,Rojo,Mecánica,4,
32,1115653478,Volkswagen Jetta europa,$ 41.500.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007000', 'ADMIN_LEVEL_1_name': 'Bogotá', 'ADMIN_LEVEL_3_id': '4300104', 'ADMIN_LEVEL_3_name': 'Barrios Unidos', 'SUBLOCALITY_LEVEL_1_id': '5304034', 'SUBLOCALITY_LEVEL_1_name': 'Rafael Uribe'}","Vendo automóvil modelo 2014 con 35.000 kilómetros, cojinería en cuero original, espejos y vidrios eléctricos, soat para agosto de 2022, revisión técnico mecánica para mayo 31 de 2022. Segundo dueño.",VOLKSWAGEN,JETTA,Europa 2.0L,2014,35.000 km,Usado,Gasolina,Rojo,Mecánica,4,
33,1114877952,SE VENDE NISSAN FRONTIER NP300 MODELO 2026,$ 115.000.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007000', 'ADMIN_LEVEL_1_name': 'Bogotá', 'ADMIN_LEVEL_3_id': '4300113', 'ADMIN_LEVEL_3_name': 'Puente Aranda', 'SUBLOCALITY_LEVEL_1_id': '5305677', 'SUBLOCALITY_LEVEL_1_name': 'Santa Rita III Sector'}","Se vende Nissan Frontier NP300 modelo 2016 versión XE 4*4 vehículo en óptimas condiciones, frenos ABS, AIRBAG conductor y copiloto,   sillas en tela en excelente estado, mandos en el timón, velocidad crucero, mecánica con 6 velocidades, cuenta con carpa, barra anti volcó de lujo, exploradoras y unidades principales en LED, documentos para febrero y marzo de 2023, llantas a un 80 %, camara de reversa, espejos eléctricos, kilometraje 30.645, placa par, peritaje dónde el comprador lo desee.",NISSAN,FRONTIER,NP 300 LE 2.5L TD 188HP 2AA 2AB ABS EE EC CR BT RA18 4X4,2016,30.650 km,Usado,Diesel,Blanco,Mecánica,4,4x4
34,1115653474,Renault Scala,$ 25.500.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007000', 'ADMIN_LEVEL_1_name': 'Bogotá', 'ADMIN_LEVEL_3_id': '4300114', 'ADMIN_LEVEL_3_name': 'Rafael Uribe Uribe', 'SUBLOCALITY_LEVEL_1_id': '5305702', 'SUBLOCALITY_LEVEL_1_name': 'Bosques Del Country'}","Full equipo, bien cuidado, llantas en buen estado, papales al día, tercer dueño.",RENAULT,SCALA,MT 1.6L AA EE 4VE 4X2,2011,58.000 km,Usado,Gasolina,Vinotinto,Mecánica,5,4x2
35,1115653470,Se vende renault 6,$ 3.500.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007010', 'ADMIN_LEVEL_1_name': 'Nariño', 'ADMIN_LEVEL_3_id': '4069533', 'ADMIN_LEVEL_3_name': 'Ipiales'}",Renault 6 targeta y tras paso avierto bateria nueva motor 1100 cc el precio es negociable,RENAULT,R6,Otros,1976,0 km,Usado,Gasolina,Azul,Mecánica,4,
36,1115653459,Vendo camioneta cautiva 7 puestos,$ 110.000.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007000', 'ADMIN_LEVEL_1_name': 'Bogotá', 'ADMIN_LEVEL_3_id': '4300116', 'ADMIN_LEVEL_3_name': 'Santa Fé', 'SUBLOCALITY_LEVEL_1_id': '5306140', 'SUBLOCALITY_LEVEL_1_name': 'Santa Inés'}",Camioneta Chevrolet cautiva 7 puestos con  4000 kilómetros,CHEVROLET,CAPTIVA,PREMIER 1.5L T AT CT TC SE 7psj 5P 4X2,2022,4.000 km,Usado,,Negro,Automática Secuencial,5,4x2
37,1115653435,Vendo Camioneta Chevrolet Luv 1600,$ 14.000.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007000', 'ADMIN_LEVEL_1_name': 'Bogotá', 'ADMIN_LEVEL_3_id': '4300109', 'ADMIN_LEVEL_3_name': 'Engativá', 'SUBLOCALITY_LEVEL_1_id': '5304920', 'SUBLOCALITY_LEVEL_1_name': 'Las Palmas'}","Camioneta Chevrolet Luv 1600 Modelo 83, excelente estado, documentación al día.",CHEVROLET,LUV,Otros,1983,400.000 km,Usado,,Verde,,2,
38,1115653433,Vendo o cambio toyota prado sumo 2001,$ 49.000.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007001', 'ADMIN_LEVEL_1_name': 'Valle del Cauca', 'ADMIN_LEVEL_3_id': '4069080', 'ADMIN_LEVEL_3_name': 'Buga'}",Vendo o permuto 2001 Perfecto estado muy bien tenida rines 20 buena de la mina lista para traspaso anda muy bien,TOYOTA,PRADO SUMO,EGO MT 2.7L 150HP 3P 4X4,2001,160.000 km,Usado,Gasolina,Verde,Mecánica,3,4x4
39,1115653417,Vehiculo ford fiesta se mecanico modelo 2016,$ 40.500.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007002', 'ADMIN_LEVEL_1_name': 'Antioquia', 'ADMIN_LEVEL_3_id': '4069123', 'ADMIN_LEVEL_3_name': 'Envigado', 'SUBLOCALITY_LEVEL_1_id': '5301090', 'SUBLOCALITY_LEVEL_1_name': 'El Trianón'}","Certificado de mantenimiento de 80000km , frenos nuevos , llantas nuevas , amortiguadores nuevos , correa , patin y soportes de motor nuevos según manual de propietario.",FORD,FIESTA SEDAN,1.6L RA16,2016,81.500 km,Usado,Gasolina,Gris,Mecánica,5,
40,1115431976,Toyota Corolla cross SEG hybrido 2022,$ 131.000.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007007', 'ADMIN_LEVEL_1_name': 'Risaralda', 'ADMIN_LEVEL_3_id': '4069440', 'ADMIN_LEVEL_3_name': 'Pereira', 'SUBLOCALITY_LEVEL_1_id': '5302130', 'SUBLOCALITY_LEVEL_1_name': 'Avenida 30 De Agosto'}",TOYOTA Corolla cross SEG hybrido 2022 cojinería cuero pantalla frontal camara de reversa llantas nuevas full único dueño,TOYOTA,COROLLA HIBRIDO,SE-G AT 1.8L 168HP HBD 7AB ABS SE CT RA17,2022,26.200 km,Usado,Híbrido,Blanco,Automática Secuencial,5,
